month,day,hour,day of week,air_temp_f,3039 power (kW),3538 power (kW),4031 power (kW),6139 power (kW),7951 power (kW),8386 power (kW),8565 power (kW),9278 power (kW),power(kW)
1.0,17.0,1.0,2.0,25.23,1.0015,0.37425,0.33525,0.9465,2.209,0.5605,0.279,2.738,8.444
1.0,17.0,2.0,2.0,23.95,0.902,0.414,0.57825,0.8585,3.896,0.5845,0.374,4.39425,12.0015
1.0,17.0,3.0,2.0,22.05,1.22925,0.4270000000000001,0.828,0.8290000000000001,2.261,0.5785,0.273,4.64525,11.071
1.0,17.0,4.0,2.0,20.32,1.07,0.433,0.68775,0.8335,5.11775,0.59575,0.3265,4.83925,13.9035
1.0,17.0,5.0,2.0,19.06,0.94325,0.41525,0.6205,0.9345,2.6135,1.04575,0.34600000000000003,4.24325,11.161999999999999
1.0,17.0,6.0,2.0,18.0,1.92825,0.41475,0.6355,1.27775,3.72275,0.7340000000000001,0.52575,4.7075,13.94625
1.0,17.0,7.0,2.0,17.4,2.7110000000000003,0.417,0.78675,1.36825,3.89,0.639,0.6990000000000001,7.89225,18.40325
1.0,17.0,8.0,2.0,17.27,2.3075,0.5475,0.8005,1.67425,3.9095,1.211,0.63275,14.65225,25.73525
1.0,17.0,9.0,2.0,20.98,1.655,0.696,1.10525,4.5335,3.47225,0.784,0.3565,12.41325,25.01575
1.0,17.0,10.0,2.0,24.07,1.08825,0.61225,1.43475,4.20575,2.4615,0.63125,0.25475,4.13175,14.82025
1.0,17.0,11.0,2.0,27.31,1.76525,0.579,0.48625,4.61675,1.956,0.85375,0.33275,4.7225,15.31225
1.0,17.0,12.0,2.0,30.31,0.77075,0.4305,0.6005,2.162,1.8485,1.35075,0.484,3.423,11.07
1.0,17.0,13.0,2.0,32.7,0.616,0.37625,0.5365,1.22625,0.44325,1.5255,0.3605,4.2435,9.32775
1.0,17.0,14.0,2.0,34.69,0.6805,0.34175,0.44075,1.1995,1.911,0.90275,0.2855,1.705,7.46675
1.0,17.0,15.0,2.0,36.09,0.65425,0.5105,0.44725,1.2275,0.95875,0.7555,0.62075,3.028,8.2025
1.0,17.0,16.0,2.0,36.62,0.8165,0.48075,0.408,1.56625,0.9555,0.60375,0.324,3.75825,8.912999999999998
1.0,17.0,17.0,2.0,35.8,2.1945,0.5435,0.4945,1.1795,1.919,1.543,0.4895,2.0495,10.413
1.0,17.0,18.0,2.0,33.68,3.415,0.573,0.79175,1.4285,1.477,0.80725,0.58425,4.48325,13.56
1.0,17.0,19.0,2.0,31.37,2.269,0.64425,0.7385,1.79875,4.33625,0.6165,0.9445,3.318,14.66575
1.0,17.0,20.0,2.0,29.73,1.7525,0.54175,0.7575,1.6295,2.54725,0.63625,0.4375,4.2025,12.504749999999998
1.0,17.0,21.0,2.0,29.24,1.32425,1.06475,0.7175,1.75625,4.362,0.81175,0.2985,4.48025,14.81525
1.0,17.0,22.0,2.0,28.86,1.6435,0.546,1.50475,4.31825,3.5575,0.65475,0.30375,3.99425,16.522750000000002
1.0,17.0,23.0,2.0,28.21,1.14825,0.49875,1.875,4.58225,3.778,0.59575,0.32725,3.69875,16.504
1.0,18.0,0.0,3.0,27.47,1.034,0.3925,1.74425,1.61275,3.857,0.6075,0.2685,3.3745,12.890999999999998
1.0,18.0,1.0,3.0,27.61,1.13275,0.35600000000000004,1.994,0.83925,3.4625,0.544,0.28925,3.85825,12.476
1.0,18.0,2.0,3.0,28.5,0.77075,0.3795,1.48625,0.86775,3.809,0.54175,0.30725,3.69825,11.8605
1.0,18.0,3.0,3.0,28.77,1.13775,0.35375,0.64875,0.7725,3.73275,0.54475,0.34775,3.93825,11.47625
1.0,18.0,4.0,3.0,29.29,0.94375,0.369,0.79675,0.861,3.5005,0.59475,0.26475,4.42,11.7505
1.0,18.0,5.0,3.0,29.96,1.14025,0.37275,1.88975,0.851,2.4955,0.9415,0.30725,3.01075,11.00875
1.0,18.0,6.0,3.0,30.51,1.4225,0.35575,2.027,0.78875,3.53725,0.67175,0.695,4.2805,13.7785
1.0,18.0,7.0,3.0,30.74,2.3915,0.40525,0.9945,2.34225,3.86525,0.606,0.81775,2.7435,14.166
1.0,18.0,8.0,3.0,31.28,2.83675,0.64,0.73925,3.98625,2.2805,1.003,0.625,4.88975,17.0005
1.0,18.0,9.0,3.0,31.84,1.833,0.561,0.61675,2.151,2.3535,0.735,0.58475,3.30525,12.140249999999998
1.0,18.0,10.0,3.0,32.85,1.63525,0.44725,0.6355,1.62275,2.48775,0.66325,0.598,4.8355,12.92525
1.0,18.0,11.0,3.0,34.2,1.60125,0.41925,0.68875,1.6740000000000002,3.3795,0.863,1.1465,1.62825,11.4005
1.0,18.0,12.0,3.0,36.51,1.97325,0.407,0.453,1.59025,2.537,0.5305,1.1425,3.3645,11.998
1.0,18.0,13.0,3.0,39.49,1.37375,0.40075,0.7015,1.10925,1.849,0.5225,0.504,2.77375,9.2345
1.0,18.0,14.0,3.0,41.71,0.76475,0.3915,0.59075,1.0755,0.45375,0.5085,1.73375,1.59,7.108499999999999
1.0,18.0,15.0,3.0,43.38,0.738,0.395,0.55525,1.21375,3.434,0.53125,2.24675,3.375,12.489
1.0,18.0,16.0,3.0,44.34,0.70225,0.382,0.54125,1.19825,1.77,0.80275,0.91025,2.32375,8.6305
1.0,18.0,17.0,3.0,44.12,0.76725,0.54275,1.074,1.043,1.96125,1.05075,0.7775,1.60875,8.82525
1.0,18.0,18.0,3.0,43.7,2.076,0.43725,2.211,1.3865,2.0035,1.53275,3.6225,3.592,16.8615
1.0,18.0,19.0,3.0,43.31,2.24275,0.5285,2.27725,1.568,2.472,0.77325,1.029,1.94375,12.8345
1.0,18.0,20.0,3.0,42.54,2.24525,0.97675,4.80025,1.744,2.5540000000000003,0.688,0.86275,3.16025,17.03125
1.0,18.0,21.0,3.0,41.67,1.4775,0.7515,2.83425,1.78025,2.55125,0.732,3.1965,3.188,16.51125
1.0,18.0,22.0,3.0,40.51,1.34475,0.55025,0.5635,7.22475,2.3955,0.6285,0.81625,3.44225,16.965750000000003
1.0,18.0,23.0,3.0,39.46,0.7979999999999999,0.434,0.282,3.94725,2.657,0.4525,0.599,2.73425,11.904
